trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,      1 Entomobrya ligate;      3 Isotoma sensibilis;     39 Uropoda sp.;     40 Discopoma sp.,      1 Entomobrya ligate,4,1,1,3.0,2.0,20.0,4.0,3.0,20.0,4.0
2,      2 Lepidocyrtus cyaneus;      4 Pseudistoma sensibilis,      2 Lepidocyrtus cyaneus,2,1,2,3.0,2.0,10.0,4.0,3.0,10.0,4.0
5,      5 Parcoblatta sp.;      7 Canosoma crassus;      8 Thoracophorus costalis;      9 Acritus exiguus;     12 Melanopus sp. larvae;     18 Megalodacne fasciata,      5 Parcoblatta sp.,6,1,0,3.0,2.0,0.0,4.0,3.0,0.0,4.0
6,      6 Tachyta nana,      6 Tachyta nana,1,3,0,3.666666666666667,3.0,0.0,1.5384615384615385,3.666666666666667,0.0,1.5384615384615385
10,     10 Chariessa pilosa,     10 Chariessa pilosa,1,5,0,4.4,3.0,0.0,1.3333333333333333,4.4,0.0,1.3333333333333333
11,     11 Alaus oculatus larvae,     11 Alaus oculatus larvae,1,1,0,4.0,3.0,0.0,2.2222222222222223,4.0,0.0,2.2222222222222223
13,     13 Chrysobothris femorata larvae,     13 Chrysobothris femorata larvae,1,1,1,3.0,2.0,20.0,4.0,3.0,20.0,4.0
14,     14 Agrilus sp. larvae;     19 Xylotrechus colonus larvae;     21 Neoclytus scutellaris larvae;     22 Graphisurus fasciatus larvae;     23 Orthotomicus coelatus,     14 Agrilus sp. larvae,5,1,0,3.0,2.0,0.0,4.0,3.0,0.0,4.0
15,     15 Silvanus embellis;     16 S. planatus;     17 Brontes dubius larvae,     15 Silvanus embellis,3,1,1,3.0,2.0,20.0,4.0,3.0,20.0,4.0
20,     20 Romaleum atomarium larvae,     20 Romaleum atomarium larvae,1,1,2,3.0,2.0,3.3333333333333335,4.0,3.0,3.3333333333333335,4.0
24,     24 Megaselia sp. larvae,     24 Megaselia sp. larvae,1,2,1,4.5,3.0,20.0,1.6666666666666667,4.5,20.0,1.6666666666666667
25,     25 Lonchaea sp. larvae,     25 Lonchaea sp. larvae,1,1,2,3.0,2.0,10.0,4.0,3.0,10.0,4.0
26,     26 tachinid larvae,     26 tachinid larvae,1,1,2,4.0,3.0,10.0,2.2222222222222223,4.0,10.0,2.2222222222222223
27,     27 Tremex columba larvae,     27 Tremex columba larvae,1,1,0,2.0,1.0,0.0,20.0,2.0,0.0,20.0
28,     28 Atanycolus simplex;     29 Sparhius floridanus,     28 Atanycolus simplex,2,1,0,4.0,3.0,0.0,2.2222222222222223,4.0,0.0,2.2222222222222223
30,     30 Camponotus herculeanus;     31 Crematogaster lineolata;     32 Leptothorax curvispinosus;     33 Ponera coarcta;     34 Proceratium croceum;     35 Linotaenia bidens;     36 Geophilus varians;     37 Chthonius spinosus;     38 C. longipalpus,     30 Camponotus herculeanus,9,1,0,2.0,1.0,0.0,20.0,2.0,0.0,20.0
41,     41 Pergamasus sp.;     42 Megisthanus sp.;     43 Dendrolaelops sp.,     41 Pergamasus sp.,3,1,1,2.0,1.0,20.0,20.0,2.0,20.0,20.0
44,     44 various larvae (unspecified),     44 various larvae (unspecified),1,0,2,1.0,0.0,5.0,0.0,1.0,5.0,0.0
45,     45 phloem (Quercus spp.),     45 phloem (Quercus spp.),1,3,5,2.6666666666666665,1.0,0.6896551724137931,10.0,2.6666666666666665,0.6896551724137931,10.0
46,     46 fungi,     46 fungi,1,2,6,2.5,2.0,0.7407407407407407,10.0,2.5,0.7407407407407407,10.0
47,     47 sapwood detritus,     47 sapwood detritus,1,0,3,1.0,0.0,0.5405405405405406,0.0,1.0,0.5405405405405406,0.0
