sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
detritus,detritus,organics,,1,detritus,3,3,0,51,1.0,0.0,1.6802884615384615,0.0,1.0,1.8191358274078862,0.0
dead animal material,detritus,organics,,2,carrion,3,3,0,31,1.0,0.0,1.9579831932773109,0.0,1.0,1.8191358274078862,0.0
sulphate reducing bacteria,chemotroph ,chemotroph,,3,gram-negative bacteria,2,2,0,8,1.0,0.0,1.7216748768472907,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
Enterobacteriaceae,chemotroph ,chemotroph,,4,gram-negative bacteria,2,1,0,20,1.0,0.0,1.713235294117647,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
iron bacteria,chemotroph ,chemotroph,,5,gram-negative bacteria,3,3,0,4,1.0,0.0,1.3089887640449438,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
vibroid bacteria,chemotroph ,chemotroph,,6,gram-negative bacteria,3,3,0,4,1.0,0.0,1.3065420560747663,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
nitrate-reducing bacteria,chemotroph ,chemotroph,,7,gram-negative bacteria,2,3,5,3,2.0,1.0,1.4008016032064128,139.8,1.1176470588235294,1.4503229350718085,16.447058823529414
iron-reducing bacteria,chemotroph ,chemotroph,,8,gram-negative bacteria,2,3,0,6,1.0,0.0,1.4353182751540041,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
manganese-reducing bacteria,chemotroph ,chemotroph,,9,gram-negative bacteria,2,3,0,6,1.0,0.0,1.7216748768472907,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
rods,chemotroph ,chemotroph,,10,?gram-negative bacteria,3,3,0,14,1.0,0.0,1.8015463917525774,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
coccibacilli,chemotroph ,chemotroph,,11,gram-negative/positive bacteria,3,3,0,9,1.0,0.0,1.7741116751269035,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
hydrogen bacteria (?Propionibacteriaceae),chemotroph ,chemotroph,,12,gram-positive bacteria,2,3,0,4,1.0,0.0,1.273224043715847,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
coccoid bacteria,chemotroph ,chemotroph,,13,gram-positive bacteria,3,3,0,11,1.0,0.0,1.6255813953488372,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
curved rod bacteria,chemotroph ,chemotroph,,14,gram-positive bacteria,3,3,0,7,1.0,0.0,1.6143187066974596,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
ammonia oxidizing bacteria,chemotroph ,chemotroph,,15,Proteobacteria,2,3,0,4,1.0,0.0,1.3089887640449438,0.0,1.1176470588235294,1.4503229350718085,16.447058823529414
